Match Number,Round Number,Date,Location,Home Team,Away Team,Result
56,6,26/09/2023 20:45,Juventus Stadium,Juventus,Lecce,1 - 0
51,6,27/09/2023 18:30,Unipol Domus,Cagliari,Milan,1 - 3
52,6,27/09/2023 18:30,Carlo Castellani,Empoli,Salernitana,1 - 0
60,6,27/09/2023 18:30,Marcantonio Bentegodi,Hellas Verona,Atalanta,0 - 1
55,6,27/09/2023 20:45,San Siro,Inter,Sassuolo,1 - 2
57,6,27/09/2023 20:45,Olimpico,Lazio,Torino,2 - 0
59,6,27/09/2023 20:45,Diego Armando Maradona,Napoli,Udinese,4 - 1
53,6,28/09/2023 18:30,Benito Stirpe,Frosinone,Fiorentina,1 - 1
58,6,28/09/2023 18:30,Brianteo,Monza,Bologna,0 - 0
54,6,28/09/2023 20:45,Luigi Ferraris,Genoa,Roma,4 - 1
64,7,30/09/2023 15:00,Ettore Giardiniero - Via del mare,Lecce,Napoli,0 - 4
65,7,30/09/2023 18:00,San Siro,Milan,Lazio,2 - 0
67,7,30/09/2023 20:45,Arechi,Salernitana,Inter,0 - 4
62,7,01/10/2023 12:30,Renato Dall'Ara,Bologna,Empoli,3 - 0
70,7,01/10/2023 15:00,Friuli,Udinese,Genoa,2 - 2
61,7,01/10/2023 18:00,Atleti Azzurri d'Italia,Atalanta,Juventus,0 - 0
66,7,01/10/2023 20:45,Olimpico,Roma,Frosinone,2 - 0
68,7,02/10/2023 18:30,Mapei Stadium - Città del Tricolore,Sassuolo,Monza,0 - 1
69,7,02/10/2023 18:30,Olimpico Grande Torino,Torino,Hellas Verona,0 - 0
63,7,02/10/2023 20:45,Artemio Franchi,Fiorentina,Cagliari,3 - 0
75,8,06/10/2023 18:30,Carlo Castellani,Empoli,Udinese,0 - 0
71,8,06/10/2023 20:45,Ettore Giardiniero - Via del mare,Lecce,Sassuolo,1 - 1
78,8,07/10/2023 15:00,San Siro,Inter,Bologna,2 - 2
79,8,07/10/2023 18:00,Juventus Stadium,Juventus,Torino,2 - 0
77,8,07/10/2023 20:45,Luigi Ferraris,Genoa,Milan,0 - 1
72,8,08/10/2023 12:30,Brianteo,Monza,Salernitana,3 - 0
76,8,08/10/2023 15:00,Benito Stirpe,Frosinone,Hellas Verona,2 - 1
80,8,08/10/2023 15:00,Olimpico,Lazio,Atalanta,3 - 2
74,8,08/10/2023 18:00,Unipol Domus,Cagliari,Roma,1 - 4
73,8,08/10/2023 20:45,Diego Armando Maradona,Napoli,Fiorentina,1 - 3
90,9,21/10/2023 15:00,Marcantonio Bentegodi,Hellas Verona,Napoli,1 - 3
88,9,21/10/2023 18:00,Olimpico Grande Torino,Torino,Inter,0 - 3
87,9,21/10/2023 20:45,Mapei Stadium - Città del Tricolore,Sassuolo,Lazio,0 - 2
85,9,22/10/2023 12:30,Olimpico,Roma,Monza,1 - 0
82,9,22/10/2023 15:00,Renato Dall'Ara,Bologna,Frosinone,2 - 1
86,9,22/10/2023 15:00,Arechi,Salernitana,Cagliari,2 - 2
81,9,22/10/2023 18:00,Atleti Azzurri d'Italia,Atalanta,Genoa,2 - 0
84,9,22/10/2023 20:45,San Siro,Milan,Juventus,0 - 1
89,9,23/10/2023 18:30,Friuli,Udinese,Lecce,1 - 1
83,9,23/10/2023 20:45,Artemio Franchi,Fiorentina,Empoli,0 - 2
93,10,27/10/2023 20:45,Luigi Ferraris,Genoa,Salernitana,1 - 0
100,10,28/10/2023 15:00,Mapei Stadium - Città del Tricolore,Sassuolo,Bologna,1 - 1
