Match Number,Round Number,Date,Location,Home Team,Away Team,Result
202,21,21/01/2024 18:00,Arechi,Salernitana,Genoa,1 - 2
210,21,21/01/2024 20:45,Ettore Giardiniero - Via del mare,Lecce,Juventus,0 - 3
206,21,14/02/2024 19:00,Renato Dall'Ara,Bologna,Fiorentina,
204,21,22/02/2024 20:45,Olimpico Grande Torino,Torino,Lazio,
203,21,28/02/2024 18:00,Mapei Stadium - Città del Tricolore,Sassuolo,Napoli,
209,21,28/02/2024 20:45,San Siro,Inter,Atalanta,
212,22,26/01/2024 20:45,Unipol Domus,Cagliari,Torino,
211,22,27/01/2024 15:00,Atleti Azzurri d'Italia,Atalanta,Udinese,
215,22,27/01/2024 18:00,Juventus Stadium,Juventus,Empoli,
217,22,27/01/2024 20:45,San Siro,Milan,Bologna,
214,22,28/01/2024 12:30,Luigi Ferraris,Genoa,Lecce,
218,22,28/01/2024 15:00,Brianteo,Monza,Sassuolo,
220,22,28/01/2024 15:00,Marcantonio Bentegodi,Hellas Verona,Frosinone,
